Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2010/07/23,0,0,0.00,0.00,0.00,0.00,---,0
2010/07/26,10000,10200,1.02,1.02,1.02,1.02,-0.13,2
2010/07/27,10000,9600,0.96,0.96,0.96,0.96,-0.06,1
2010/07/28,0,0,0.00,0.00,0.00,0.00,---,0
2010/07/29,0,0,0.00,0.00,0.00,0.00,---,0
2010/07/30,0,0,0.00,0.00,0.00,0.00,---,0
2010/08/02,0,0,0.00,0.00,0.00,0.00,---,0
2010/08/03,10000,9500,0.95,0.95,0.95,0.95,-0.01,1
2010/08/04,124000,106640,0.86,0.86,0.86,0.86,-0.09,2
2010/08/05,309000,278550,0.93,0.93,0.86,0.86,0.00,8
2010/08/06,142000,109020,0.80,0.80,0.67,0.67,-0.19,5
2010/08/09,10000,6000,0.60,0.60,0.60,0.60,-0.07,1
2010/08/10,10000,6500,0.65,0.65,0.65,0.65,0.05,1
2010/08/11,10000,6000,0.60,0.60,0.60,0.60,-0.05,1
2010/08/12,10000,5700,0.57,0.57,0.57,0.57,-0.03,1
2010/08/13,20000,12400,0.62,0.62,0.62,0.62,0.05,2
2010/08/16,20000,12000,0.60,0.60,0.60,0.60,-0.02,2
2010/08/17,35000,25300,0.75,0.75,0.71,0.71,0.11,4
2010/08/18,20000,13500,0.68,0.68,0.67,0.67,-0.04,2
2010/08/19,10000,6300,0.63,0.63,0.63,0.63,-0.04,1
2010/08/20,30000,18400,0.64,0.64,0.60,0.60,-0.03,2
2010/08/23,0,0,0.00,0.00,0.00,0.00,---,0
2010/08/24,10000,5600,0.56,0.56,0.56,0.56,-0.04,1
2010/08/25,0,0,0.00,0.00,0.00,0.00,---,0
2010/08/26,1000,400,0.40,0.40,0.40,0.40,-0.16,1
2010/08/27,10000,3300,0.33,0.33,0.33,0.33,-0.07,1
2010/08/30,45000,13500,0.30,0.30,0.30,0.30,-0.03,1
2010/08/31,0,0,0.00,0.00,0.00,0.00,---,0
2010/09/01,6000,870,0.15,0.15,0.14,0.14,-0.16,2
2010/09/02,3000,360,0.12,0.12,0.12,0.12,-0.02,1
2010/09/03,1000,650,0.65,0.65,0.65,0.65,0.53,1
2010/09/06,0,0,0.00,0.00,0.00,0.00,---,0
2010/09/07,6000,1470,0.25,0.25,0.23,0.23,-0.42,4
2010/09/08,0,0,0.00,0.00,0.00,0.00,---,0
2010/09/09,1000,200,0.20,0.20,0.20,0.20,-0.03,1
2010/09/10,0,0,0.00,0.00,0.00,0.00,---,0
2010/09/13,0,0,0.00,0.00,0.00,0.00,---,0
2010/09/14,0,0,0.00,0.00,0.00,0.00,---,0
2010/09/15,0,0,0.00,0.00,0.00,0.00,---,0
2010/09/16,21000,4850,0.25,0.25,0.23,0.23,0.03,2
2010/09/17,0,0,0.00,0.00,0.00,0.00,---,0
2010/09/20,0,0,0.00,0.00,0.00,0.00,---,0
2010/09/21,0,0,0.00,0.00,0.00,0.00,---,0
2010/09/23,0,0,0.00,0.00,0.00,0.00,---,0
2010/09/24,0,0,0.00,0.00,0.00,0.00,---,0
