Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2010/10/12,0,0,--,--,--,--,,0
2010/10/13,0,0,--,--,--,--,,0
2010/10/14,0,0,--,--,--,--,,0
2010/10/15,0,0,--,--,--,--,,0
2010/10/18,0,0,--,--,--,--,,0
2010/10/19,0,0,--,--,--,--,,0
2010/10/20,0,0,--,--,--,--,,0
2010/10/21,0,0,--,--,--,--,,0
2010/10/22,0,0,--,--,--,--,,0
2010/10/25,0,0,--,--,--,--,,0
2010/10/26,0,0,--,--,--,--,,0
2010/10/27,0,0,--,--,--,--,,0
2010/10/28,0,0,--,--,--,--,,0
2010/10/29,0,0,--,--,--,--,,0
2010/11/01,0,0,--,--,--,--,,0
2010/11/02,0,0,--,--,--,--,,0
2010/11/03,0,0,--,--,--,--,,0
2010/11/04,0,0,--,--,--,--,,0
2010/11/05,0,0,--,--,--,--,,0
2010/11/08,0,0,--,--,--,--,,0
2010/11/09,0,0,--,--,--,--,,0
2010/11/10,0,0,--,--,--,--,,0
2010/11/11,0,0,--,--,--,--,,0
2010/11/12,0,0,--,--,--,--,,0
2010/11/15,0,0,--,--,--,--,,0
2010/11/16,0,0,--,--,--,--,,0
2010/11/17,0,0,--,--,--,--,,0
2010/11/18,0,0,--,--,--,--,,0
2010/11/19,0,0,--,--,--,--,,0
2010/11/22,0,0,--,--,--,--,,0
2010/11/23,0,0,--,--,--,--,,0
2010/11/24,0,0,--,--,--,--,,0
2010/11/25,0,0,--,--,--,--,,0
2010/11/26,0,0,--,--,--,--,,0
2010/11/29,0,0,--,--,--,--,,0
2010/11/30,0,0,--,--,--,--,,0
2010/12/01,0,0,--,--,--,--,,0
2010/12/02,99000,25740,0.26,0.26,0.26,0.26,-0.04,1
2010/12/03,198000,51480,0.27,0.27,0.25,0.25,-0.01,2
2010/12/06,99000,27720,0.28,0.28,0.28,0.28,0.03,1
2010/12/07,0,0,--,--,--,--,,0
2010/12/08,0,0,--,--,--,--,,0
2010/12/09,0,0,--,--,--,--,,0
2010/12/10,0,0,--,--,--,--,,0
2010/12/13,0,0,--,--,--,--,,0
2010/12/14,0,0,--,--,--,--,,0
2010/12/15,0,0,--,--,--,--,,0
2010/12/16,0,0,--,--,--,--,,0
2010/12/17,0,0,--,--,--,--,,0
2010/12/20,0,0,--,--,--,--,,0
2010/12/21,0,0,--,--,--,--,,0
2010/12/22,0,0,--,--,--,--,,0
2010/12/23,0,0,--,--,--,--,,0
2010/12/24,0,0,--,--,--,--,,0
2010/12/27,0,0,--,--,--,--,,0
2010/12/28,0,0,--,--,--,--,,0
2010/12/29,0,0,--,--,--,--,,0
2010/12/30,0,0,--,--,--,--,,0
2010/12/31,0,0,--,--,--,--,,0
2011/01/03,0,0,--,--,--,--,,0
2011/01/04,0,0,--,--,--,--,,0
2011/01/05,0,0,--,--,--,--,,0
2011/01/06,0,0,--,--,--,--,,0
2011/01/07,0,0,--,--,--,--,,0
2011/01/10,0,0,--,--,--,--,,0
2011/01/11,0,0,--,--,--,--,,0
2011/01/12,0,0,--,--,--,--,,0
2011/01/13,0,0,--,--,--,--,,0
2011/01/14,0,0,--,--,--,--,,0
2011/01/17,0,0,--,--,--,--,,0
2011/01/18,0,0,--,--,--,--,,0
2011/01/19,0,0,--,--,--,--,,0
2011/01/20,0,0,--,--,--,--,,0
2011/01/21,0,0,--,--,--,--,,0
2011/01/24,0,0,--,--,--,--,,0
2011/01/25,0,0,--,--,--,--,,0
2011/01/26,0,0,--,--,--,--,,0
2011/01/27,0,0,--,--,--,--,,0
2011/01/28,0,0,--,--,--,--,,0
2011/02/08,0,0,--,--,--,--,,0
2011/02/09,0,0,--,--,--,--,,0
2011/02/10,0,0,--,--,--,--,,0
2011/02/11,0,0,--,--,--,--,,0
2011/02/14,0,0,--,--,--,--,,0
2011/02/15,0,0,--,--,--,--,,0
2011/02/16,0,0,--,--,--,--,,0
2011/02/17,0,0,--,--,--,--,,0
2011/02/18,0,0,--,--,--,--,,0
2011/02/21,0,0,--,--,--,--,,0
2011/02/22,0,0,--,--,--,--,,0
2011/02/23,0,0,--,--,--,--,,0
2011/02/24,0,0,--,--,--,--,,0
2011/02/25,0,0,--,--,--,--,,0
2011/03/01,0,0,--,--,--,--,,0
2011/03/02,0,0,--,--,--,--,,0
2011/03/03,0,0,--,--,--,--,,0
2011/03/04,0,0,--,--,--,--,,0
2011/03/07,0,0,--,--,--,--,,0
2011/03/08,0,0,--,--,--,--,,0
2011/03/09,0,0,--,--,--,--,,0
