Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2016/04/08,2000,1600,0.81,0.81,0.79,0.79,-0.08,2
2016/04/11,0,0,---,---,---,---,---,0
2016/04/12,0,0,---,---,---,---,---,0
2016/04/13,304000,263320,0.86,0.87,0.86,0.87,0.12,2
2016/04/14,288000,242920,0.85,0.85,0.84,0.84,-0.03,4
2016/04/15,61000,48030,0.79,0.79,0.78,0.78,-0.06,2
2016/04/18,0,0,---,---,---,---,---,0
2016/04/19,0,0,---,---,---,---,---,0
2016/04/20,0,0,---,---,---,---,---,0
2016/04/21,0,0,---,---,---,---,---,0
2016/04/22,0,0,---,---,---,---,---,0
2016/04/25,0,0,---,---,---,---,---,0
2016/04/26,0,0,---,---,---,---,---,0
2016/04/27,0,0,---,---,---,---,---,0
2016/04/28,5000,2900,0.58,0.58,0.58,0.58,0.05,1
2016/04/29,5000,2650,0.53,0.53,0.53,0.53,-0.05,1
2016/05/03,0,0,---,---,---,---,---,0
2016/05/04,0,0,---,---,---,---,---,0
2016/05/05,40000,28000,0.70,0.70,0.70,0.70,0.04,1
2016/05/06,0,0,---,---,---,---,---,0
2016/05/09,40000,30000,0.75,0.75,0.75,0.75,0.05,1
2016/05/10,0,0,---,---,---,---,---,0
2016/05/11,0,0,---,---,---,---,---,0
2016/05/12,0,0,---,---,---,---,---,0
2016/05/13,0,0,---,---,---,---,---,0
2016/05/16,0,0,---,---,---,---,---,0
2016/05/17,0,0,---,---,---,---,---,0
2016/05/18,0,0,---,---,---,---,---,0
2016/05/19,0,0,---,---,---,---,---,0
2016/05/20,0,0,---,---,---,---,---,0
2016/05/23,30000,24000,0.80,0.80,0.80,0.80,0.12,1
2016/05/24,30000,25200,0.84,0.84,0.84,0.84,0.04,1
2016/05/25,0,0,---,---,---,---,---,0
2016/05/26,0,0,---,---,---,---,---,0
2016/05/27,0,0,---,---,---,---,---,0
2016/05/30,0,0,---,---,---,---,---,0
2016/05/31,0,0,---,---,---,---,---,0
2016/06/01,0,0,---,---,---,---,---,0
2016/06/02,0,0,---,---,---,---,---,0
2016/06/03,0,0,---,---,---,---,---,0
2016/06/06,0,0,---,---,---,---,---,0
2016/06/07,0,0,---,---,---,---,---,0
2016/06/08,0,0,---,---,---,---,---,0
2016/06/13,0,0,---,---,---,---,---,0
2016/06/14,0,0,---,---,---,---,---,0
2016/06/15,0,0,---,---,---,---,---,0
2016/06/16,0,0,---,---,---,---,---,0
2016/06/17,0,0,---,---,---,---,---,0
2016/06/20,0,0,---,---,---,---,---,0
2016/06/21,0,0,---,---,---,---,---,0
2016/06/22,0,0,---,---,---,---,---,0
2016/06/23,0,0,---,---,---,---,---,0
2016/06/24,1000,480,0.48,0.48,0.48,0.48,-0.03,1
2016/06/27,0,0,---,---,---,---,---,0
2016/06/28,0,0,---,---,---,---,---,0
2016/06/29,32000,16320,0.51,0.51,0.51,0.51,0.03,2
2016/06/30,32000,17260,0.52,0.54,0.52,0.54,0.03,2
2016/07/01,0,0,---,---,---,---,---,0
