Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2015/06/08,210000,204400,1.04,1.04,0.97,0.97,-0.49,3
2015/06/09,17000,14530,0.89,0.89,0.83,0.83,-0.14,2
2015/06/10,8000,6740,0.84,0.86,0.84,0.86,0.03,2
2015/06/11,1538000,1640340,0.99,1.14,0.98,1.02,0.16,33
2015/06/12,1107000,1213610,1.12,1.12,1.02,1.02,0.00,20
2015/06/15,205000,197450,0.95,0.97,0.95,0.97,-0.05,6
2015/06/16,89000,74030,0.81,0.85,0.81,0.82,-0.15,4
2015/06/17,650000,560010,0.85,0.90,0.84,0.84,0.02,9
2015/06/18,605000,504050,0.82,0.88,0.81,0.88,0.04,10
2015/06/22,554000,520620,0.93,0.95,0.91,0.93,0.05,6
2015/06/23,753000,656820,0.93,0.93,0.78,0.78,-0.15,14
2015/06/24,323000,272630,0.83,0.87,0.83,0.87,0.09,7
2015/06/25,122000,107320,0.91,0.91,0.85,0.86,-0.01,5
2015/06/26,1002000,596380,0.80,0.80,0.53,0.57,-0.29,32
2015/06/29,2910000,1195670,0.45,0.45,0.35,0.36,-0.21,29
2015/06/30,608000,312180,0.50,0.55,0.49,0.49,0.13,16
2015/07/01,1184000,670540,0.57,0.60,0.55,0.60,0.11,20
2015/07/02,564000,341770,0.61,0.61,0.58,0.61,0.01,12
2015/07/03,0,0,---,---,---,---,---,0
2015/07/06,625000,250350,0.41,0.42,0.40,0.40,-0.15,7
2015/07/07,109000,47960,0.44,0.44,0.44,0.44,0.04,2
2015/07/08,669000,272060,0.46,0.46,0.34,0.36,-0.08,9
2015/07/09,829000,233850,0.27,0.45,0.23,0.40,0.04,18
2015/07/13,639000,268370,0.43,0.43,0.41,0.41,0.01,10
2015/07/14,77000,30870,0.42,0.42,0.39,0.39,-0.02,8
2015/07/15,305000,103550,0.36,0.36,0.33,0.33,-0.06,11
2015/07/16,1952000,484680,0.32,0.32,0.21,0.22,-0.11,28
2015/07/17,622000,121960,0.24,0.25,0.16,0.16,-0.06,55
2015/07/20,74000,14670,0.20,0.20,0.19,0.20,0.04,5
2015/07/21,490000,92050,0.20,0.23,0.15,0.22,0.02,11
2015/07/22,1480000,264820,0.17,0.19,0.17,0.18,-0.04,13
2015/07/23,1056000,124630,0.13,0.14,0.08,0.10,-0.08,59
2015/07/24,229000,23250,0.10,0.11,0.10,0.10,0.00,16
2015/07/27,537000,41520,0.11,0.12,0.06,0.07,-0.03,16
2015/07/28,547000,39450,0.07,0.10,0.06,0.09,0.02,15
2015/07/29,80000,4600,0.06,0.06,0.05,0.05,-0.04,4
2015/07/30,587000,35020,0.05,0.07,0.05,0.07,0.02,21
2015/07/31,170000,10700,0.08,0.08,0.06,0.06,-0.01,5
2015/08/03,160000,4500,0.03,0.03,0.02,0.02,-0.04,9
2015/08/04,840000,15500,0.01,0.03,0.01,0.02,0.00,66
2015/08/05,170000,3400,0.02,0.02,0.02,0.02,0.00,3
2015/08/06,40000,1200,0.03,0.03,0.03,0.03,0.01,4
2015/08/07,0,0,---,---,---,---,---,0
2015/08/10,10000,1000,0.10,0.10,0.10,0.10,0.07,1
2015/08/11,0,0,---,---,---,---,---,0
2015/08/12,0,0,---,---,---,---,---,0
2015/08/13,0,0,---,---,---,---,---,0
2015/08/14,0,0,---,---,---,---,---,0
2015/08/17,0,0,---,---,---,---,---,0
2015/08/18,0,0,---,---,---,---,---,0
2015/08/19,0,0,---,---,---,---,---,0
2015/08/20,0,0,---,---,---,---,---,0
2015/08/21,0,0,---,---,---,---,---,0
2015/08/24,0,0,---,---,---,---,---,0
2015/08/25,0,0,---,---,---,---,---,0
2015/08/26,0,0,---,---,---,---,---,0
2015/08/27,0,0,---,---,---,---,---,0
2015/08/28,1000,100,0.10,0.10,0.10,0.10,0.06,1
2015/08/31,0,0,---,---,---,---,---,0
2015/09/01,0,0,---,---,---,---,---,0
2015/09/02,0,0,---,---,---,---,---,0
2015/09/03,0,0,---,---,---,---,---,0
2015/09/04,0,0,---,---,---,---,---,0
2015/09/07,0,0,---,---,---,---,---,0
2015/09/08,0,0,---,---,---,---,---,0
2015/09/09,0,0,---,---,---,---,---,0
2015/09/10,0,0,---,---,---,---,---,0
2015/09/11,0,0,---,---,---,---,---,0
2015/09/14,0,0,---,---,---,---,---,0
2015/09/15,0,0,---,---,---,---,---,0
2015/09/16,0,0,---,---,---,---,---,0
2015/09/17,0,0,---,---,---,---,---,0
2015/09/18,0,0,---,---,---,---,---,0
2015/09/21,0,0,---,---,---,---,---,0
2015/09/22,0,0,---,---,---,---,---,0
2015/09/23,0,0,---,---,---,---,---,0
2015/09/24,0,0,---,---,---,---,---,0
2015/09/25,0,0,---,---,---,---,---,0
2015/09/30,0,0,---,---,---,---,---,0
2015/10/01,0,0,---,---,---,---,---,0
2015/10/02,0,0,---,---,---,---,---,0
2015/10/05,0,0,---,---,---,---,---,0
2015/10/06,0,0,---,---,---,---,---,0
2015/10/07,0,0,---,---,---,---,---,0
2015/10/08,0,0,---,---,---,---,---,0
2015/10/12,0,0,---,---,---,---,---,0
2015/10/13,0,0,---,---,---,---,---,0
2015/10/14,0,0,---,---,---,---,---,0
2015/10/15,0,0,---,---,---,---,---,0
2015/10/16,0,0,---,---,---,---,---,0
2015/10/19,0,0,---,---,---,---,---,0
2015/10/20,0,0,---,---,---,---,---,0
2015/10/21,0,0,---,---,---,---,---,0
2015/10/22,0,0,---,---,---,---,---,0
2015/10/23,0,0,---,---,---,---,---,0
2015/10/26,0,0,---,---,---,---,---,0
2015/10/27,0,0,---,---,---,---,---,0
2015/10/28,0,0,---,---,---,---,---,0
2015/10/29,0,0,---,---,---,---,---,0
2015/10/30,0,0,---,---,---,---,---,0
2015/11/02,0,0,---,---,---,---,---,0
2015/11/03,0,0,---,---,---,---,---,0
2015/11/04,0,0,---,---,---,---,---,0
2015/11/05,0,0,---,---,---,---,---,0
2015/11/06,0,0,---,---,---,---,---,0
2015/11/09,0,0,---,---,---,---,---,0
2015/11/10,0,0,---,---,---,---,---,0
2015/11/11,0,0,---,---,---,---,---,0
2015/11/12,0,0,---,---,---,---,---,0
2015/11/13,0,0,---,---,---,---,---,0
2015/11/16,0,0,---,---,---,---,---,0
2015/11/17,0,0,---,---,---,---,---,0
2015/11/18,0,0,---,---,---,---,---,0
2015/11/19,0,0,---,---,---,---,---,0
2015/11/20,0,0,---,---,---,---,---,0
2015/11/23,0,0,---,---,---,---,---,0
2015/11/24,0,0,---,---,---,---,---,0
2015/11/25,0,0,---,---,---,---,---,0
2015/11/26,0,0,---,---,---,---,---,0
2015/11/27,0,0,---,---,---,---,---,0
2015/11/30,0,0,---,---,---,---,---,0
2015/12/01,0,0,---,---,---,---,---,0
2015/12/02,0,0,---,---,---,---,---,0
2015/12/03,0,0,---,---,---,---,---,0
