Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2016/09/12,220000,183000,0.80,0.84,0.80,0.84,0.04,3
2016/09/13,315000,264600,0.84,0.84,0.84,0.84,0.00,3
2016/09/14,20000,15800,0.79,0.79,0.79,0.79,-0.05,1
2016/09/19,223000,197990,0.86,0.89,0.86,0.89,0.10,6
2016/09/20,517000,472550,0.91,0.94,0.85,0.85,-0.04,12
2016/09/21,286000,246930,0.87,0.87,0.84,0.84,-0.01,6
2016/09/22,67000,56660,0.85,0.87,0.83,0.86,0.02,9
2016/09/23,155000,127350,0.84,0.84,0.82,0.82,-0.04,7
2016/09/26,60000,47250,0.80,0.80,0.77,0.77,-0.05,6
2016/09/29,37000,25720,0.70,0.70,0.69,0.69,-0.08,4
2016/09/30,32000,22300,0.71,0.71,0.69,0.69,0.00,7
2016/10/03,400000,285340,0.71,0.73,0.71,0.72,0.03,8
2016/10/04,391000,277590,0.71,0.72,0.70,0.72,0.00,7
2016/10/05,3000,2230,0.74,0.75,0.74,0.75,0.03,2
2016/10/06,11000,7710,0.70,0.71,0.70,0.71,-0.04,2
2016/10/07,0,0,---,---,---,---,---,0
2016/10/11,346000,252320,0.66,0.74,0.66,0.73,0.02,6
2016/10/12,364000,258440,0.71,0.71,0.71,0.71,-0.02,4
2016/10/13,670000,482640,0.70,0.74,0.70,0.73,0.02,15
2016/10/14,803000,552240,0.70,0.70,0.67,0.68,-0.05,13
2016/10/17,32000,21760,0.68,0.68,0.68,0.68,0.00,1
2016/10/18,45000,29750,0.68,0.68,0.65,0.65,-0.03,4
2016/10/19,274000,188620,0.68,0.70,0.67,0.67,0.02,9
2016/10/20,663000,460810,0.67,0.72,0.67,0.71,0.04,10
2016/10/21,1480000,1154400,0.73,0.86,0.73,0.79,0.08,44
2016/10/24,1065000,852430,0.81,0.82,0.79,0.80,0.01,27
2016/10/25,1176000,1010380,0.84,0.88,0.83,0.84,0.04,38
2016/10/26,2546000,2312720,0.84,0.98,0.83,0.96,0.12,67
2016/10/27,2204000,2117950,0.97,0.99,0.92,0.94,-0.02,48
2016/10/28,622000,573180,0.98,0.98,0.89,0.90,-0.04,25
2016/10/31,1417000,1257630,0.89,0.93,0.84,0.88,-0.02,30
2016/11/01,1196000,1050220,0.87,0.89,0.85,0.89,0.01,20
2016/11/02,2237000,1758820,0.85,0.85,0.74,0.74,-0.15,43
2016/11/03,1231000,872490,0.76,0.78,0.67,0.70,-0.04,28
2016/11/04,337000,226030,0.67,0.71,0.62,0.70,0.00,17
2016/11/07,969000,732700,0.73,0.80,0.72,0.80,0.10,25
2016/11/08,388000,306680,0.79,0.80,0.78,0.80,0.00,8
2016/11/09,849000,558930,0.75,0.75,0.62,0.62,-0.18,40
