Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2015/03/12,3000,1740,0.58,0.58,0.58,0.58,-0.06,1
2015/03/13,0,0,---,---,---,---,---,0
2015/03/16,0,0,---,---,---,---,---,0
2015/03/17,2000,1120,0.56,0.56,0.56,0.56,-0.01,1
2015/03/18,0,0,---,---,---,---,---,0
2015/03/19,0,0,---,---,---,---,---,0
2015/03/20,7000,4610,0.65,0.66,0.65,0.66,0.13,3
2015/03/23,230000,151550,0.70,0.71,0.64,0.71,0.05,9
2015/03/24,222000,172650,0.78,0.78,0.75,0.77,0.06,7
2015/03/25,589000,442770,0.69,0.77,0.69,0.77,0.00,10
2015/03/26,296000,212160,0.72,0.76,0.67,0.69,-0.08,17
2015/03/27,25000,16150,0.67,0.67,0.62,0.62,-0.07,4
2015/03/30,397000,202800,0.59,0.59,0.47,0.47,-0.15,5
2015/03/31,442000,202970,0.42,0.50,0.42,0.49,0.02,8
2015/04/01,145000,67050,0.46,0.47,0.46,0.47,-0.02,4
2015/04/02,435000,207290,0.48,0.52,0.47,0.51,0.04,6
2015/04/07,0,0,---,---,---,---,---,0
2015/04/08,56000,28160,0.51,0.51,0.50,0.50,-0.01,3
2015/04/09,3000,1350,0.45,0.45,0.45,0.45,-0.05,1
2015/04/10,100000,44000,0.44,0.44,0.44,0.44,-0.01,1
2015/04/13,100000,45000,0.45,0.45,0.45,0.45,0.01,1
2015/04/14,464000,206680,0.44,0.47,0.44,0.46,0.01,8
2015/04/15,348000,155610,0.47,0.47,0.43,0.43,-0.03,7
2015/04/16,200000,84980,0.43,0.43,0.42,0.42,-0.01,3
2015/04/17,16000,6400,0.40,0.40,0.40,0.40,-0.02,1
2015/04/20,7000,2380,0.34,0.34,0.34,0.34,-0.06,1
2015/04/21,0,0,---,---,---,---,---,0
2015/04/22,0,0,---,---,---,---,---,0
2015/04/23,33000,14530,0.40,0.48,0.40,0.48,0.12,7
2015/04/24,22000,10330,0.48,0.48,0.45,0.45,-0.03,3
2015/04/27,445000,208640,0.46,0.49,0.46,0.48,0.03,7
2015/04/28,194000,83420,0.43,0.43,0.43,0.43,-0.05,2
2015/04/29,149000,63980,0.43,0.43,0.42,0.42,-0.01,2
2015/04/30,0,0,---,---,---,---,---,0
2015/05/04,5000,2250,0.45,0.45,0.45,0.45,0.02,1
2015/05/05,0,0,---,---,---,---,---,0
2015/05/06,6000,2280,0.38,0.38,0.38,0.38,-0.04,2
2015/05/07,0,0,---,---,---,---,---,0
2015/05/08,0,0,---,---,---,---,---,0
2015/05/11,0,0,---,---,---,---,---,0
2015/05/12,62000,17980,0.29,0.29,0.29,0.29,0.06,1
2015/05/13,67000,18810,0.28,0.29,0.28,0.29,0.00,2
2015/05/14,0,0,---,---,---,---,---,0
2015/05/15,0,0,---,---,---,---,---,0
2015/05/18,0,0,---,---,---,---,---,0
2015/05/19,200000,50000,0.25,0.25,0.25,0.25,0.04,2
2015/05/20,0,0,---,---,---,---,---,0
2015/05/21,0,0,---,---,---,---,---,0
2015/05/22,0,0,---,---,---,---,---,0
2015/05/25,200000,44000,0.22,0.22,0.22,0.22,-0.02,1
2015/05/26,0,0,---,---,---,---,---,0
2015/05/27,529000,122960,0.23,0.24,0.23,0.24,0.04,7
2015/05/28,580000,150900,0.27,0.27,0.26,0.26,0.02,10
2015/05/29,350000,91200,0.25,0.27,0.25,0.25,-0.01,4
2015/06/01,750000,168500,0.22,0.23,0.22,0.22,-0.03,9
2015/06/02,926000,194350,0.22,0.22,0.20,0.20,-0.02,9
2015/06/03,1037000,245100,0.23,0.25,0.23,0.24,0.04,9
2015/06/04,750000,177000,0.26,0.26,0.21,0.22,-0.02,11
2015/06/05,900000,215500,0.21,0.27,0.21,0.27,0.05,11
2015/06/08,1020000,318200,0.31,0.32,0.30,0.31,0.04,22
2015/06/09,1249000,373440,0.30,0.37,0.28,0.37,0.06,35
2015/06/10,300000,108980,0.35,0.37,0.35,0.37,0.00,3
2015/06/11,15000,6650,0.46,0.46,0.41,0.41,0.04,2
2015/06/12,0,0,---,---,---,---,---,0
2015/06/15,0,0,---,---,---,---,---,0
2015/06/16,0,0,---,---,---,---,---,0
2015/06/17,0,0,---,---,---,---,---,0
2015/06/18,0,0,---,---,---,---,---,0
2015/06/22,0,0,---,---,---,---,---,0
2015/06/23,0,0,---,---,---,---,---,0
2015/06/24,0,0,---,---,---,---,---,0
2015/06/25,0,0,---,---,---,---,---,0
2015/06/26,10000,3100,0.31,0.31,0.31,0.31,0.03,1
2015/06/29,0,0,---,---,---,---,---,0
2015/06/30,0,0,---,---,---,---,---,0
2015/07/01,0,0,---,---,---,---,---,0
2015/07/02,0,0,---,---,---,---,---,0
2015/07/03,0,0,---,---,---,---,---,0
2015/07/06,1040000,133200,0.14,0.14,0.12,0.12,-0.14,8
2015/07/07,166000,19920,0.12,0.12,0.12,0.12,0.00,2
2015/07/08,0,0,---,---,---,---,---,0
2015/07/09,0,0,---,---,---,---,---,0
2015/07/13,0,0,---,---,---,---,---,0
2015/07/14,10000,500,0.05,0.05,0.05,0.05,-0.07,1
2015/07/15,0,0,---,---,---,---,---,0
2015/07/16,0,0,---,---,---,---,---,0
2015/07/17,0,0,---,---,---,---,---,0
2015/07/20,0,0,---,---,---,---,---,0
2015/07/21,0,0,---,---,---,---,---,0
2015/07/22,0,0,---,---,---,---,---,0
2015/07/23,0,0,---,---,---,---,---,0
2015/07/24,0,0,---,---,---,---,---,0
2015/07/27,0,0,---,---,---,---,---,0
2015/07/28,0,0,---,---,---,---,---,0
2015/07/29,0,0,---,---,---,---,---,0
2015/07/30,0,0,---,---,---,---,---,0
2015/07/31,0,0,---,---,---,---,---,0
2015/08/03,0,0,---,---,---,---,---,0
2015/08/04,0,0,---,---,---,---,---,0
2015/08/05,0,0,---,---,---,---,---,0
2015/08/06,0,0,---,---,---,---,---,0
2015/08/07,0,0,---,---,---,---,---,0
2015/08/10,0,0,---,---,---,---,---,0
2015/08/11,0,0,---,---,---,---,---,0
2015/08/12,0,0,---,---,---,---,---,0
2015/08/13,0,0,---,---,---,---,---,0
2015/08/14,0,0,---,---,---,---,---,0
2015/08/17,0,0,---,---,---,---,---,0
2015/08/18,0,0,---,---,---,---,---,0
2015/08/19,0,0,---,---,---,---,---,0
2015/08/20,0,0,---,---,---,---,---,0
2015/08/21,0,0,---,---,---,---,---,0
2015/08/24,0,0,---,---,---,---,---,0
2015/08/25,0,0,---,---,---,---,---,0
2015/08/26,0,0,---,---,---,---,---,0
2015/08/27,0,0,---,---,---,---,---,0
2015/08/28,0,0,---,---,---,---,---,0
2015/08/31,0,0,---,---,---,---,---,0
2015/09/01,0,0,---,---,---,---,---,0
2015/09/02,0,0,---,---,---,---,---,0
2015/09/03,0,0,---,---,---,---,---,0
2015/09/04,0,0,---,---,---,---,---,0
2015/09/07,0,0,---,---,---,---,---,0
2015/09/08,0,0,---,---,---,---,---,0
2015/09/09,0,0,---,---,---,---,---,0
