Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2011/04/20,57000,31520,0.55,0.56,0.55,0.56,-0.41,2
2011/04/21,67000,46380,0.65,0.71,0.65,0.71,0.15,6
2011/04/22,179000,125090,0.69,0.70,0.69,0.70,-0.01,7
2011/04/25,584000,414300,0.75,0.75,0.67,0.69,-0.01,30
2011/04/26,257000,166590,0.65,0.67,0.62,0.66,-0.03,18
2011/04/27,270000,198760,0.73,0.75,0.73,0.74,0.08,18
2011/04/28,91000,67460,0.75,0.76,0.71,0.71,-0.03,6
2011/04/29,123000,83140,0.67,0.72,0.66,0.66,-0.05,13
2011/05/03,305000,195490,0.66,0.66,0.62,0.65,-0.01,18
2011/05/04,581000,359530,0.62,0.65,0.59,0.65,,31
2011/05/05,427000,282890,0.60,0.71,0.60,0.71,0.06,20
2011/05/06,189000,125790,0.66,0.69,0.65,0.67,-0.04,13
2011/05/09,257000,187890,0.68,0.76,0.68,0.72,0.05,16
2011/05/10,84000,58580,0.71,0.71,0.69,0.70,-0.02,10
2011/05/11,134000,94840,0.73,0.73,0.70,0.71,0.01,8
2011/05/12,198000,131540,0.65,0.71,0.64,0.71,,14
2011/05/13,224000,153600,0.69,0.70,0.67,0.68,-0.03,18
2011/05/16,279000,175580,0.67,0.67,0.60,0.62,-0.06,24
2011/05/17,218000,129100,0.59,0.61,0.57,0.60,-0.02,22
2011/05/18,214000,128260,0.59,0.61,0.59,0.61,0.01,18
2011/05/19,445000,287310,0.63,0.69,0.57,0.58,-0.03,28
2011/05/20,414000,233350,0.58,0.60,0.54,0.56,-0.02,26
2011/05/23,1000000,466740,0.49,0.49,0.44,0.48,-0.08,59
2011/05/24,852000,399130,0.47,0.49,0.44,0.49,0.01,29
2011/05/25,885000,396450,0.45,0.47,0.43,0.46,-0.03,41
2011/05/26,608000,295130,0.48,0.51,0.47,0.51,0.05,24
2011/05/27,114000,57830,0.51,0.53,0.49,0.49,-0.02,16
2011/05/30,31000,14800,0.46,0.50,0.45,0.50,0.01,4
2011/05/31,561000,326530,0.53,0.64,0.53,0.64,0.14,27
2011/06/01,268000,180320,0.64,0.70,0.64,0.68,0.04,18
2011/06/02,199000,127450,0.70,0.70,0.63,0.63,-0.05,17
2011/06/03,185000,120550,0.64,0.66,0.64,0.66,0.03,7
2011/06/07,189000,116780,0.63,0.66,0.60,0.66,,15
2011/06/08,90000,56670,0.67,0.67,0.61,0.64,-0.02,12
2011/06/09,73000,44830,0.62,0.62,0.61,0.61,-0.03,7
2011/06/10,1036000,533010,0.63,0.63,0.47,0.47,-0.14,56
2011/06/13,1252000,531490,0.49,0.49,0.40,0.41,-0.06,52
2011/06/14,1293000,582490,0.43,0.48,0.42,0.48,0.07,40
2011/06/15,1516000,675050,0.50,0.50,0.41,0.47,-0.01,45
2011/06/16,1179000,432310,0.42,0.42,0.36,0.36,-0.11,60
2011/06/17,415000,149250,0.35,0.39,0.33,0.35,-0.01,23
2011/06/20,608000,192970,0.35,0.37,0.29,0.29,-0.06,34
2011/06/21,160000,52280,0.33,0.34,0.31,0.34,0.05,12
2011/06/22,234000,78350,0.36,0.36,0.32,0.34,,14
2011/06/23,174000,53640,0.31,0.31,0.30,0.31,-0.03,7
2011/06/24,581000,169140,0.30,0.30,0.29,0.30,-0.01,24
2011/06/27,748000,185620,0.25,0.27,0.24,0.27,-0.03,29
2011/06/28,371000,100340,0.28,0.28,0.26,0.26,-0.01,17
2011/06/29,601000,192860,0.28,0.33,0.28,0.32,0.06,24
2011/06/30,478000,156180,0.32,0.34,0.31,0.34,0.02,11
2011/07/01,435000,161640,0.36,0.38,0.36,0.38,0.04,15
2011/07/04,1088000,425620,0.37,0.40,0.37,0.38,,22
2011/07/05,419000,155210,0.36,0.38,0.36,0.38,,9
2011/07/06,822000,347060,0.38,0.43,0.38,0.42,0.04,18
2011/07/07,122000,50150,0.43,0.43,0.41,0.42,,6
2011/07/08,916000,394010,0.43,0.46,0.39,0.40,-0.02,16
2011/07/11,283000,100280,0.35,0.36,0.35,0.36,-0.04,7
2011/07/12,1071000,309570,0.33,0.33,0.27,0.28,-0.08,23
2011/07/13,233000,63280,0.27,0.28,0.27,0.28,,7
2011/07/14,666000,169200,0.30,0.30,0.24,0.27,-0.01,21
2011/07/15,465000,140290,0.28,0.32,0.27,0.31,0.04,12
2011/07/18,186000,54090,0.31,0.31,0.28,0.31,,5
2011/07/19,32000,8740,0.27,0.29,0.27,0.29,-0.02,2
2011/07/20,1582000,533050,0.08,0.38,0.08,0.38,0.09,22
2011/07/21,757000,298440,0.39,0.41,0.39,0.40,0.02,18
2011/07/22,577000,254170,0.43,0.46,0.43,0.45,0.05,22
2011/07/25,531000,202870,0.40,0.40,0.36,0.38,-0.07,13
2011/07/26,951000,397990,0.39,0.43,0.39,0.43,0.05,14
2011/07/27,1312000,590290,0.43,0.46,0.43,0.46,0.03,22
2011/07/28,711000,285780,0.40,0.42,0.39,0.42,-0.04,16
2011/07/29,580000,214960,0.42,0.42,0.35,0.35,-0.07,21
