Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2017/02/08,0,0,---,---,---,---,---,0
2017/02/09,2249000,1973030,0.82,1.11,0.80,1.08,0.32,59
2017/02/10,2845000,2914870,1.07,1.07,0.98,0.98,-0.10,75
2017/02/13,1622000,2202280,1.19,1.50,1.19,1.41,0.43,92
2017/02/14,1199000,1645250,1.47,1.57,1.19,1.24,-0.17,100
2017/02/15,1714000,2205190,1.24,1.41,1.12,1.23,-0.01,87
2017/02/16,1230000,1395620,1.23,1.23,1.07,1.09,-0.14,66
2017/02/17,2166000,2440360,1.12,1.18,1.10,1.12,0.03,77
2017/02/20,1701000,2185430,1.22,1.44,1.18,1.24,0.07,80
2017/02/21,743000,907530,1.30,1.30,1.15,1.17,-0.07,62
2017/02/22,892000,1047270,1.19,1.22,1.14,1.16,-0.01,43
2017/02/23,826000,1008750,1.17,1.28,1.17,1.18,0.02,43
2017/02/24,863000,969450,1.17,1.18,1.04,1.07,-0.11,52
2017/03/01,292000,312700,1.06,1.12,1.04,1.04,-0.03,15
2017/03/02,133000,135450,1.05,1.05,1.01,1.01,-0.03,7
2017/03/03,129000,131760,1.02,1.05,1.01,1.01,0.00,10
2017/03/06,844000,782350,1.03,1.03,0.89,0.90,-0.11,28
2017/03/07,1699000,1648420,0.93,1.04,0.92,1.04,0.14,53
2017/03/08,1005000,1051630,1.09,1.09,1.00,1.02,-0.02,73
2017/03/09,344000,326910,0.98,0.98,0.92,0.94,-0.08,28
2017/03/10,228000,200860,0.87,0.90,0.84,0.90,-0.04,25
2017/03/13,393000,348450,0.90,0.91,0.87,0.89,-0.01,36
2017/03/14,575000,529190,0.91,0.98,0.90,0.95,0.06,28
2017/03/15,250000,227370,0.92,0.92,0.90,0.90,-0.05,25
2017/03/16,434000,421460,0.92,1.06,0.90,0.97,0.07,40
2017/03/17,298000,301050,1.05,1.05,0.97,0.97,0.00,29
2017/03/20,300000,303750,1.01,1.05,0.98,1.02,0.05,33
2017/03/21,317000,321530,1.01,1.05,0.98,0.98,-0.04,26
2017/03/22,118000,109200,0.93,0.94,0.92,0.93,-0.05,13
2017/03/23,207000,194520,0.93,0.97,0.91,0.92,-0.01,23
2017/03/24,173000,155650,0.93,0.93,0.89,0.89,-0.03,14
2017/03/27,331000,291420,0.86,0.92,0.85,0.86,-0.03,34
2017/03/28,457000,372370,0.86,0.89,0.74,0.79,-0.07,31
2017/03/29,144000,115120,0.80,0.80,0.79,0.80,0.01,10
2017/03/30,82000,66870,0.80,0.84,0.80,0.81,0.01,14
2017/03/31,219000,180390,0.82,0.85,0.81,0.83,0.02,19
2017/04/05,93000,81180,0.85,0.89,0.85,0.88,0.05,14
2017/04/06,232000,202280,0.88,0.89,0.86,0.88,0.00,24
2017/04/07,1030000,1035030,0.91,1.10,0.90,1.10,0.22,93
2017/04/10,975000,1031980,1.15,1.15,1.00,1.03,-0.07,35
2017/04/11,205000,186490,0.98,1.01,0.81,0.83,-0.20,24
2017/04/12,354000,283170,0.81,0.82,0.75,0.81,-0.02,13
2017/04/13,469000,371280,0.80,0.81,0.78,0.78,-0.03,19
2017/04/14,218000,151590,0.74,0.74,0.66,0.66,-0.12,10
2017/04/17,18000,11800,0.60,0.66,0.60,0.66,0.00,4
2017/04/18,32000,22060,0.71,0.71,0.66,0.68,0.02,5
2017/04/19,10000,6900,0.69,0.69,0.69,0.69,0.01,1
2017/04/20,100000,64920,0.70,0.70,0.63,0.64,-0.05,4
2017/04/21,334000,239260,0.69,0.76,0.69,0.71,0.07,14
2017/04/24,295000,205230,0.71,0.71,0.67,0.70,-0.01,13
2017/04/25,194000,132390,0.70,0.70,0.66,0.66,-0.04,8
2017/04/26,500000,374540,0.69,0.83,0.69,0.75,0.09,36
2017/04/27,454000,329030,0.75,0.75,0.69,0.72,-0.03,24
2017/04/28,670000,563420,0.76,0.89,0.74,0.85,0.13,33
2017/05/02,782000,696330,0.92,0.92,0.83,0.86,0.01,68
2017/05/03,432000,414450,0.87,1.02,0.86,0.91,0.05,52
2017/05/04,201000,185230,0.94,0.97,0.87,0.89,-0.02,30
2017/05/05,77000,67390,0.89,0.89,0.85,0.86,-0.03,11
2017/05/08,320000,317760,0.95,1.05,0.92,0.92,0.06,45
2017/05/09,194000,165090,0.88,0.88,0.78,0.79,-0.13,22
2017/05/10,304000,276420,0.84,0.97,0.83,0.94,0.15,44
2017/05/11,560000,559730,1.00,1.10,0.79,0.84,-0.10,80
2017/05/12,317000,272630,0.91,0.91,0.82,0.82,-0.02,18
2017/05/15,329000,293090,0.91,0.94,0.86,0.94,0.12,41
2017/05/16,318000,299190,0.99,1.02,0.85,0.85,-0.09,21
2017/05/17,92000,77880,0.87,0.87,0.81,0.82,-0.03,6
2017/05/18,103000,87560,0.79,0.89,0.77,0.88,0.06,16
2017/05/19,94000,81220,0.89,0.89,0.85,0.85,-0.03,5
2017/05/22,26000,20920,0.78,0.82,0.78,0.82,-0.03,5
2017/05/23,424000,375210,0.82,0.94,0.82,0.88,0.06,52
2017/05/24,463000,408900,0.88,0.94,0.85,0.94,0.06,35
2017/05/25,247000,238710,1.09,1.09,0.92,0.92,-0.02,24
2017/05/26,191000,168380,0.89,0.92,0.86,0.90,-0.02,24
2017/05/31,90000,73580,0.87,0.87,0.78,0.78,-0.12,12
2017/06/01,91000,72300,0.80,0.85,0.77,0.85,0.07,14
2017/06/02,251000,219390,0.86,0.91,0.84,0.86,0.01,34
2017/06/05,443000,412440,0.93,0.97,0.89,0.94,-0.05,40
2017/06/06,976000,1085730,1.04,1.20,1.02,1.05,0.11,72
2017/06/07,459000,494140,1.12,1.13,1.01,1.01,-0.04,30
2017/06/08,106000,106540,1.04,1.08,0.99,1.08,0.07,13
2017/06/09,116000,125560,1.15,1.15,1.05,1.06,-0.02,11
2017/06/12,9000,8280,0.92,0.92,0.92,0.92,-0.14,3
